Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
85,,,,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Minions,," Kyle Balda, Pierre Coffin",,8,,2015,"Animation, Action, Adventure",,,
86,,,,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",The SpongeBob Movie: Sponge Out of Water,," Paul Tibbitt, Mike Mitchell",,9,,2015,"Action, Adventure, Comedy",,,
87,,,,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,Blackhat,,Michael Mann,,8,,2015,"Crime, Daram, Mistery",,,
88,,,,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Ted 2,,Seth MacFarlane,,9,,2015,Comedy,,,
89,,,,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",Spy!,, Paul Feig,,9,,2015,"Action, Comedy, Crime",,,
90,,,,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",Focus,," Glenn Ficarra, John Requa",,9,,2015,"Comedy, Crime, Drama",,,
91,,,,A climbing expedition on Mt. Everest is devastated by a severe snow storm.,Everest,, Baltasar Kormákur,,10,,2015,"Adventure, Biography, Drama",,,
92,,,,"When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends.",Tian jiang xiong shi,, Daniel Lee,,10,,2015,"Action, Adventure, Drama",,,
93,,,,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",The Hateful Eight,, Quentin Tarantino,,9,,2015,"Crime, Drama, Mistery",,,
94,,,,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",Maze Runner: The Scorch Trials,,, Wes Ball,8,,2015,"Action, Sci-Fi, Thriller",,,
95,,,,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",Joy,,David O. Russell,,9,,2015,Drama,,,
96,,,,"Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",Mortdecai,, David Koepp,,9,,2015,"Action, Comedy,Crime",,,
97,,,,"An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward, deadbeat dad.",The Ridiculous 6,, Frank Coraci,,9,,2015,"Comedy, Western",,,
98,,,,"A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",Goosebumps,,Rob Letterman,,8,,2015,"Adventure, Comedy, Family",,,
99,,,,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.",Paddington,, Paul King,,7,,2015,"Comedy, Family, Fantasy",,,
100,,,,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",Crimson Peak,, Guillermo del Toro,,9,,2015,"Drama, Fantasy, Horror",,,
101,,,,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Black Mass,, Scott Cooper,,8,,2015,"Biography, Crime, Drama",,,
102,,,,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",Daddy’s Home,, Sean Anders,,7,,2015,"Comedy, Family",,,
103,,,,"Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",Run All Night,, Jaume Collet-Serra,,7,,2015,"Action, Crime, Drama",,,
104,,,,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,Child 44,, Daniel Espinosa,,7,,2015,"Crime, Drama, Thriller",,,
105,,,,A '40s period piece which revolves around an American expat who returns to Shanghai in the months before Pearl Harbor due to the death of his friend.,Shanghai,, Mikael Håfström,,9,,2015,"Drama, Mystery, Romance",,,
106,,,,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",Chappie,, Neill Blomkamp,,8,,2015,"Action, Crime, Drama",,,
